id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
782,Residence Cervino I,Jakarta Timur,1BR,28.7,5220000,"Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket",7.4,4.0
783,Suites Casablanca B,Tangerang,2BR,59.0,6180000,"Akses Kartu, Furnished, Gym, Laundry, Minimarket",2.71,3.9
784,Kost Eksklusif Menteng I,Depok,Studio,22.2,3300000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Parkir",1.62,3.1
785,Tower Kemang C,Depok,2BR,63.6,6640000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",9.73,3.9
786,Suites Senayan C,Jakarta Timur,1BR,37.1,5450000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket",1.41,4.8
787,Residence Alam Sutera C,Jakarta Barat,Studio,24.2,3220000,"Akses Kartu, Keamanan 24 Jam, Laundry, Parkir",2.46,3.8
788,Apartemen Kuningan C,Jakarta Timur,Studio,18.4,2540000,"Akses Kartu, Laundry, Minimarket",11.29,3.6
789,Apartemen Cikini I,Jakarta Timur,1BR,28.6,5370000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",9.77,3.0
790,Suites Menteng A,Jakarta Pusat,Studio,26.8,5060000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry",7.31,3.5
791,Suites Bintaro C,Bekasi,3BR,83.9,7740000,"AC, Kolam Renang, Minimarket, Parkir, Taman Bermain",11.61,4.5
792,Apartemen Cervino C,Jakarta Barat,3BR,79.6,14800000,"AC, Furnished, Minimarket, Taman Bermain",4.83,3.3
793,Suites Cikini II,Jakarta Barat,Studio,24.7,2920000,"AC, Gym, Keamanan 24 Jam, Laundry",11.31,4.5
794,Residence Permata I,Jakarta Selatan,3BR,81.4,12030000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",1.89,4.1
795,Suites Thamrin A,Depok,1BR,33.5,5270000,"Gym, Laundry, Taman Bermain",6.22,3.3
796,Suites Bintaro A,Jakarta Barat,1BR,31.4,5670000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",1.45,3.6
797,Kost Eksklusif Menteng II,Tangerang,2BR,65.2,8520000,"Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",3.33,4.9
798,Tower Grand Galaxy B,Depok,2BR,56.5,5840000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket",4.03,3.3
799,Residence Senayan C,Jakarta Barat,Studio,21.7,2880000,"AC, Furnished, Gym, Kolam Renang, Laundry, Parkir",8.36,4.3
800,Kost Eksklusif Permata B,Jakarta Timur,2BR,62.0,8710000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Parkir, Taman Bermain",3.37,3.2
